job_name,status,creation_time,training_job_counts,best_auc,data_source,container_image,instance_type,num_completed,avg_auc,min_auc,max_auc,scores_above_55,scores_above_80,scores_above_95,perfect_scores
cf-hpo-aapl-1751521732,Failed,2025-07-03 05:48:53.942000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 6, 'Stopped': 2}",,s3://hpo-bucket-773934887314/56_stocks/2025-07-03-05-41-43/train.csv,683313688378.dkr.ecr.us-east-1.amazonaws.com/sagemaker-scikit-learn:0.23-1-cpu-py3,ml.m5.4xlarge,,,,,,,,
cf-hpo-aapl-1751521331,Failed,2025-07-03 05:42:12.974000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 6, 'Stopped': 2}",,s3://hpo-bucket-773934887314/56_stocks/2025-07-03-05-41-43/train.csv,683313688378.dkr.ecr.us-east-1.amazonaws.com/sagemaker-scikit-learn:0.23-1-cpu-py3,ml.m5.4xlarge,,,,,,,,
cf-hpo-aapl-1751521067,Failed,2025-07-03 05:37:48.442000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 7, 'Stopped': 1}",,s3://hpo-bucket-773934887314/56_stocks/2025-07-03-05-32-24/train.csv,683313688378.dkr.ecr.us-east-1.amazonaws.com/sagemaker-scikit-learn:0.23-1-cpu-py3,ml.m5.4xlarge,,,,,,,,
aapl-hpo-20250701-071457,Completed,2025-07-01 11:14:58.170000+00:00,"{'Completed': 20, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 0, 'Stopped': 0}",0.5482950210571289,s3://hpo-bucket-773934887314/data/train/aapl_simple_train.csv,811284229777.dkr.ecr.us-east-1.amazonaws.com/xgboost:1,ml.m5.xlarge,20.0,0.510030297935009,0.4892539978027344,0.5482950210571289,0.0,0.0,0.0,0.0
aapl-hpo-20250701-064752,Failed,2025-07-01 10:47:52.567000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 6, 'Stopped': 2}",,s3://hpo-bucket-773934887314/data/train/aapl_simple_train.csv,246618743249.dkr.ecr.us-east-1.amazonaws.com/sagemaker-lightgbm:1.2-1,ml.m5.xlarge,,,,,,,,
aapl-hpo-20250701-064449,Failed,2025-07-01 10:44:50.168000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 5, 'Stopped': 2}",,s3://hpo-bucket-773934887314/data/train/,246618743249.dkr.ecr.us-east-1.amazonaws.com/sagemaker-lightgbm:1.2-1,ml.m5.xlarge,,,,,,,,
aapl-hpo-20250701-064017,Failed,2025-07-01 10:40:17.653000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 7, 'Stopped': 1}",,s3://hpo-bucket-773934887314/data/aapl_features.csv,246618743249.dkr.ecr.us-east-1.amazonaws.com/sagemaker-lightgbm:1.2-1,ml.m5.xlarge,,,,,,,,
46-models-hpo-1751425639,Failed,2025-07-02 03:07:21.035000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 7, 'Stopped': 0}",,s3://hpo-bucket-773934887314/56_stocks/46_models/2025-07-02-03-05-02/train.csv,246618743249.dkr.ecr.us-east-1.amazonaws.com/xgboost:1.5-1,ml.m5.xlarge,,,,,,,,
46-models-fixed,Failed,2025-07-02 03:23:30.314000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 7, 'Stopped': 1}",,s3://hpo-bucket-773934887314/56_stocks/46_models/2025-07-02-03-05-02/train.csv,683313688378.dkr.ecr.us-east-1.amazonaws.com/xgboost:latest,ml.m5.xlarge,,,,,,,,
46-models-final-1751428406,Completed,2025-07-02 03:53:27.982000+00:00,"{'Completed': 138, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 0, 'Stopped': 0}",0.5153700113296509,s3://hpo-bucket-773934887314/56_stocks/46_models/2025-07-02-03-05-02/train.csv,683313688378.dkr.ecr.us-east-1.amazonaws.com/sagemaker-xgboost:1.7-1,ml.m5.xlarge,100.0,0.5007344025373459,0.4914799928665161,0.5153700113296509,0.0,0.0,0.0,0.0
46-models-final-1751427536,Completed,2025-07-02 03:38:57.424000+00:00,"{'Completed': 138, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 0, 'Stopped': 0}",0.5133299827575684,s3://hpo-bucket-773934887314/56_stocks/46_models/2025-07-02-03-05-02/train.csv,683313688378.dkr.ecr.us-east-1.amazonaws.com/sagemaker-xgboost:1.7-1,ml.m5.xlarge,100.0,0.5002260002493858,0.4855700135231018,0.5133299827575684,0.0,0.0,0.0,0.0
46-models-corrected-1751427281,Failed,2025-07-02 03:34:42.950000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 7, 'Stopped': 1}",,s3://hpo-bucket-773934887314/56_stocks/46_models/2025-07-02-03-05-02/train.csv,683313688378.dkr.ecr.us-east-1.amazonaws.com/sagemaker-xgboost:1.7-1,ml.m5.xlarge,,,,,,,,
46-models-corrected-1751427037,Failed,2025-07-02 03:30:37.995000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 7, 'Stopped': 1}",,s3://hpo-bucket-773934887314/56_stocks/46_models/2025-07-02-03-05-02/train.csv,811284229777.dkr.ecr.us-east-1.amazonaws.com/xgboost:1.7-1,ml.m5.xlarge,,,,,,,,
46-models-corrected-1751426975,Failed,2025-07-02 03:29:35.803000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 7, 'Stopped': 1}",,s3://hpo-bucket-773934887314/56_stocks/46_models/2025-07-02-03-05-02/train.csv,811284229777.dkr.ecr.us-east-1.amazonaws.com/xgboost:1.7-1,ml.m5.xlarge,,,,,,,,
